MASS_H,PO,TPO,WF,NBg,NSig,MT
125,3,3,5,10000,0,3
125.25,3,3,5,10000,0,3
125.50,3,3,5,10000,0,3
125.75,3,3,5,10000,0,3
126,3,3,5,10000,0,3
126.25,3,3,5,10000,0,3
126.50,3,3,5,10000,0,3
126.75,3,3,5,10000,0,3
127,3,3,5,10000,0,3
127.25,3,3,5,10000,0,3
127.50,3,3,5,10000,0,3
127.75,3,3,5,10000,0,3
128,3,3,5,10000,0,3
128.25,3,3,5,10000,0,3
128.50,3,3,5,10000,0,3
128.75,3,3,5,10000,0,3
129,3,3,5,10000,0,3
129.25,3,3,5,10000,0,3
129.50,3,3,5,10000,0,3
129.75,3,3,5,10000,0,3
130,3,3,5,10000,0,3
130.25,3,3,5,10000,0,3
130.50,3,3,5,10000,0,3
130.75,3,3,5,10000,0,3
131,3,3,5,10000,0,3
131.25,3,3,5,10000,0,3
131.50,3,3,5,10000,0,3
131.75,3,3,5,10000,0,3
132,3,3,5,10000,0,3
132.25,3,3,5,10000,0,3
132.50,3,3,5,10000,0,3
132.75,3,3,5,10000,0,3
133,3,3,5,10000,0,3
133.25,3,3,5,10000,0,3
133.50,3,3,5,10000,0,3
133.75,3,3,5,10000,0,3
134,3,3,5,10000,0,3
134.25,3,3,5,10000,0,3
134.50,3,3,5,10000,0,3
134.75,3,3,5,10000,0,3
135,3,3,5,10000,0,3
135.25,3,3,5,10000,0,3
135.50,3,3,5,10000,0,3
135.75,3,3,5,10000,0,3
136,3,3,5,10000,0,3
136.25,3,3,5,10000,0,3
136.50,3,3,5,10000,0,3
136.75,3,3,5,10000,0,3
137,3,3,5,10000,0,3
137.25,3,3,5,10000,0,3
137.50,3,3,5,10000,0,3
137.75,3,3,5,10000,0,3
138,3,3,5,10000,0,3
138.25,3,3,5,10000,0,3
138.50,3,3,5,10000,0,3
138.75,3,3,5,10000,0,3
139,3,3,5,10000,0,3
139.25,3,3,5,10000,0,3
139.50,3,3,5,10000,0,3
139.75,3,3,5,10000,0,3
140,3,3,5,10000,0,3
140.25,3,3,5,10000,0,3
140.50,3,3,5,10000,0,3
140.75,3,3,5,10000,0,3
141,3,3,5,10000,0,3
141.25,3,3,5,10000,0,3
141.50,3,3,5,10000,0,3
141.75,3,3,5,10000,0,3
142,3,3,5,10000,0,3
142.25,3,3,5,10000,0,3
142.50,3,3,5,10000,0,3
142.75,3,3,5,10000,0,3
143,3,3,5,10000,0,3
143.25,3,3,5,10000,0,3
143.50,3,3,5,10000,0,3
143.75,3,3,5,10000,0,3
144,3,3,9,10000,0,3
144.25,3,3,9,10000,0,3
144.50,3,3,9,10000,0,3
144.75,3,3,9,10000,0,3
145,3,3,9,10000,0,3
145.25,3,3,9,10000,0,3
145.50,3,3,9,10000,0,3
145.75,3,3,9,10000,0,3
146,3,3,9,10000,0,3
146.25,3,3,9,10000,0,3
146.50,3,3,9,10000,0,3
146.75,3,3,9,10000,0,3
147,3,3,9,10000,0,3
147.25,3,3,9,10000,0,3
147.50,3,3,9,10000,0,3
147.75,3,3,9,10000,0,3
148,3,3,9,10000,0,3
148.25,3,3,9,10000,0,3
148.50,3,3,9,10000,0,3
148.75,3,3,9,10000,0,3
149,3,3,9,10000,0,3
149.25,3,3,9,10000,0,3
149.50,3,3,9,10000,0,3
149.75,3,3,9,10000,0,3
150,3,3,9,10000,0,3
150.25,3,3,9,10000,0,3
150.50,3,3,9,10000,0,3
150.75,3,3,9,10000,0,3
151,3,3,9,10000,0,3
151.25,3,3,9,10000,0,3
151.50,3,3,9,10000,0,3
151.75,3,3,9,10000,0,3
152,3,3,9,10000,0,3
152.25,3,3,9,10000,0,3
152.50,3,3,9,10000,0,3
152.75,3,3,9,10000,0,3
153,3,3,9,10000,0,3
153.25,3,3,9,10000,0,3
153.50,3,3,9,10000,0,3
153.75,3,3,9,10000,0,3
154,3,3,9,10000,0,3
154.25,3,3,9,10000,0,3
154.50,3,3,9,10000,0,3
154.75,3,3,9,10000,0,3
155,3,3,9,10000,0,3
155.25,3,3,9,10000,0,3
155.50,3,3,9,10000,0,3
155.75,3,3,9,10000,0,3
156,3,3,9,10000,0,3
156.25,3,3,9,10000,0,3
156.50,3,3,9,10000,0,3
156.75,3,3,9,10000,0,3
157,3,3,9,10000,0,3
157.25,3,3,9,10000,0,3
157.50,3,3,9,10000,0,3
157.75,3,3,9,10000,0,3
158,3,3,9,10000,0,3
158.25,3,3,9,10000,0,3
158.50,3,3,9,10000,0,3
158.75,3,3,9,10000,0,3
159,3,3,9,10000,0,3
159.25,3,3,9,10000,0,3
159.50,3,3,9,10000,0,3
159.75,3,3,9,10000,0,3
160,3,3,9,10000,0,3
160.25,3,3,9,10000,0,3
160.50,3,3,9,10000,0,3
160.75,3,3,9,10000,0,3
161,3,3,9,10000,0,3
161.25,3,3,9,10000,0,3
161.50,3,3,9,10000,0,3
161.75,3,3,9,10000,0,3
162,3,3,9,10000,0,3
162.25,3,3,9,10000,0,3
162.50,3,3,9,10000,0,3
162.75,3,3,9,10000,0,3
163,3,3,9,10000,0,3
163.25,3,3,9,10000,0,3
163.50,3,3,9,10000,0,3
163.75,3,3,9,10000,0,3
164,3,3,9,10000,0,3
164.25,3,3,9,10000,0,3
164.50,3,3,9,10000,0,3
164.75,3,3,9,10000,0,3
165,3,3,12,10000,0,3
165.25,3,3,12,10000,0,3
165.50,3,3,12,10000,0,3
165.75,3,3,12,10000,0,3
166,3,3,12,10000,0,3
166.25,3,3,12,10000,0,3
166.50,3,3,12,10000,0,3
166.75,3,3,12,10000,0,3
167,3,3,12,10000,0,3
167.25,3,3,12,10000,0,3
167.50,3,3,12,10000,0,3
167.75,3,3,12,10000,0,3
168,3,3,12,10000,0,3
168.25,3,3,12,10000,0,3
168.50,3,3,12,10000,0,3
168.75,3,3,12,10000,0,3
169,3,3,12,10000,0,3
169.25,3,3,12,10000,0,3
169.50,3,3,12,10000,0,3
169.75,3,3,12,10000,0,3
170,3,3,12,10000,0,3
170.25,3,3,12,10000,0,3
170.50,3,3,12,10000,0,3
170.75,3,3,12,10000,0,3
171,3,3,12,10000,0,3
171.25,3,3,12,10000,0,3
171.50,3,3,12,10000,0,3
171.75,3,3,12,10000,0,3
172,3,3,12,10000,0,3
172.25,3,3,12,10000,0,3
172.50,3,3,12,10000,0,3
172.75,3,3,12,10000,0,3
173,3,3,12,10000,0,3
173.25,3,3,12,10000,0,3
173.50,3,3,12,10000,0,3
173.75,3,3,12,10000,0,3
174,3,3,12,10000,0,3
174.25,3,3,12,10000,0,3
174.50,3,3,12,10000,0,3
174.75,3,3,12,10000,0,3
175,3,3,12,10000,0,3
175.25,3,3,12,10000,0,3
175.50,3,3,12,10000,0,3
175.75,3,3,12,10000,0,3
176,3,3,12,10000,0,3
176.25,3,3,12,10000,0,3
176.50,3,3,12,10000,0,3
176.75,3,3,12,10000,0,3
177,3,3,12,10000,0,3
177.25,3,3,12,10000,0,3
177.50,3,3,12,10000,0,3
177.75,3,3,12,10000,0,3
178,3,3,12,10000,0,3
178.25,3,3,12,10000,0,3
178.50,3,3,12,10000,0,3
178.75,3,3,12,10000,0,3
179,3,3,12,10000,0,3
179.25,3,3,12,10000,0,3
179.50,3,3,12,10000,0,3
179.75,3,3,12,10000,0,3
180,3,3,12,10000,0,3
180.25,3,3,12,10000,0,3
180.50,3,3,12,10000,0,3
180.75,3,3,12,10000,0,3
181,3,3,12,10000,0,3
181.25,3,3,12,10000,0,3
181.50,3,3,12,10000,0,3
181.75,3,3,12,10000,0,3
182,3,3,12,10000,0,3
182.25,3,3,12,10000,0,3
182.50,3,3,12,10000,0,3
182.75,3,3,12,10000,0,3
183,3,3,12,10000,0,3
183.25,3,3,12,10000,0,3
183.50,3,3,12,10000,0,3
183.75,3,3,12,10000,0,3
184,3,3,12,10000,0,3
184.25,3,3,12,10000,0,3
184.50,3,3,12,10000,0,3
184.75,3,3,12,10000,0,3
185,3,3,12,10000,0,3
185.25,3,3,12,10000,0,3
185.50,3,3,12,10000,0,3
185.75,3,3,12,10000,0,3
186,3,3,12,10000,0,3
186.25,3,3,12,10000,0,3
186.50,3,3,12,10000,0,3
186.75,3,3,12,10000,0,3
187,3,3,12,10000,0,3
187.25,3,3,12,10000,0,3
187.50,3,3,12,10000,0,3
187.75,3,3,12,10000,0,3
188,3,3,12,10000,0,3
188.25,3,3,12,10000,0,3
188.50,3,3,12,10000,0,3
188.75,3,3,12,10000,0,3
189,3,3,12,10000,0,3
189.25,3,3,12,10000,0,3
189.50,3,3,12,10000,0,3
189.75,3,3,12,10000,0,3
190,3,3,12,10000,0,3
190.25,3,3,12,10000,0,3
190.50,3,3,12,10000,0,3
190.75,3,3,12,10000,0,3
191,3,3,12,10000,0,3
191.25,3,3,12,10000,0,3
191.50,3,3,12,10000,0,3
191.75,3,3,12,10000,0,3
192,3,3,12,10000,0,3
192.25,3,3,12,10000,0,3
192.50,3,3,12,10000,0,3
192.75,3,3,12,10000,0,3
193,3,3,12,10000,0,3
193.25,3,3,12,10000,0,3
193.50,3,3,12,10000,0,3
193.75,3,3,12,10000,0,3
194,3,3,12,10000,0,3
194.25,3,3,12,10000,0,3
194.50,3,3,12,10000,0,3
194.75,3,3,12,10000,0,3
195,3,3,12,10000,0,3
195.25,3,3,12,10000,0,3
195.50,3,3,12,10000,0,3
195.75,3,3,12,10000,0,3
196,3,3,12,10000,0,3
196.25,3,3,12,10000,0,3
196.50,3,3,12,10000,0,3
196.75,3,3,12,10000,0,3
197,3,3,12,10000,0,3
197.25,3,3,12,10000,0,3
197.50,3,3,12,10000,0,3
197.75,3,3,12,10000,0,3
198,3,3,12,10000,0,3
198.25,3,3,12,10000,0,3
198.50,3,3,12,10000,0,3
198.75,3,3,12,10000,0,3
199,3,3,12,10000,0,3
199.25,3,3,12,10000,0,3
199.50,3,3,12,10000,0,3
199.75,3,3,12,10000,0,3
200,3,3,12,10000,0,3
200.25,3,3,12,10000,0,3
200.50,3,3,12,10000,0,3
200.75,3,3,12,10000,0,3
201,3,3,12,10000,0,3
201.25,3,3,12,10000,0,3
201.50,3,3,12,10000,0,3
201.75,3,3,12,10000,0,3
202,3,3,12,10000,0,3
202.25,3,3,12,10000,0,3
202.50,3,3,12,10000,0,3
202.75,3,3,12,10000,0,3
203,3,3,12,10000,0,3
203.25,3,3,12,10000,0,3
203.50,3,3,12,10000,0,3
203.75,3,3,12,10000,0,3
204,3,3,12,10000,0,3
204.25,3,3,12,10000,0,3
204.50,3,3,12,10000,0,3
204.75,3,3,12,10000,0,3
205,3,3,12,10000,0,3
205.25,3,3,12,10000,0,3
205.50,3,3,12,10000,0,3
205.75,3,3,12,10000,0,3
206,3,3,12,10000,0,3
206.25,3,3,12,10000,0,3
206.50,3,3,12,10000,0,3
206.75,3,3,12,10000,0,3
207,3,3,12,10000,0,3
207.25,3,3,12,10000,0,3
207.50,3,3,12,10000,0,3
207.75,3,3,12,10000,0,3
208,3,3,12,10000,0,3
208.25,3,3,12,10000,0,3
208.50,3,3,12,10000,0,3
208.75,3,3,12,10000,0,3
209,3,3,12,10000,0,3
209.25,3,3,12,10000,0,3
209.50,3,3,12,10000,0,3
209.75,3,3,12,10000,0,3
210,3,3,12,10000,0,3
210.25,3,3,12,10000,0,3
210.50,3,3,12,10000,0,3
210.75,3,3,12,10000,0,3
211,3,3,12,10000,0,3
211.25,3,3,12,10000,0,3
211.50,3,3,12,10000,0,3
211.75,3,3,12,10000,0,3
212,3,3,12,10000,0,3
212.25,3,3,12,10000,0,3
212.50,3,3,12,10000,0,3
212.75,3,3,12,10000,0,3
213,3,3,12,10000,0,3
213.25,3,3,12,10000,0,3
213.50,3,3,12,10000,0,3
213.75,3,3,12,10000,0,3
214,3,3,12,10000,0,3
214.25,3,3,12,10000,0,3
214.50,3,3,12,10000,0,3
214.75,3,3,12,10000,0,3
215,3,3,12,10000,0,3
215.25,3,3,12,10000,0,3
215.50,3,3,12,10000,0,3
215.75,3,3,12,10000,0,3
216,3,3,12,10000,0,3
216.25,3,3,12,10000,0,3
216.50,3,3,12,10000,0,3
216.75,3,3,12,10000,0,3
217,3,3,12,10000,0,3
217.25,3,3,12,10000,0,3
217.50,3,3,12,10000,0,3
217.75,3,3,12,10000,0,3
218,3,3,12,10000,0,3
218.25,3,3,12,10000,0,3
218.50,3,3,12,10000,0,3
218.75,3,3,12,10000,0,3
219,3,3,12,10000,0,3
219.25,3,3,12,10000,0,3
219.50,3,3,12,10000,0,3
219.75,3,3,12,10000,0,3
220,3,3,12,10000,0,3
220.25,3,3,12,10000,0,3
220.50,3,3,12,10000,0,3
220.75,3,3,12,10000,0,3
221,3,3,12,10000,0,3
221.25,3,3,12,10000,0,3
221.50,3,3,12,10000,0,3
221.75,3,3,12,10000,0,3
222,3,3,12,10000,0,3
222.25,3,3,12,10000,0,3
222.50,3,3,12,10000,0,3
222.75,3,3,12,10000,0,3
223,3,3,12,10000,0,3
223.25,3,3,12,10000,0,3
223.50,3,3,12,10000,0,3
223.75,3,3,12,10000,0,3
224,3,3,12,10000,0,3
224.25,3,3,12,10000,0,3
224.50,3,3,12,10000,0,3
224.75,3,3,12,10000,0,3
